top_5_vacc;tracc;vacc;teacc;lambda;n_batch;eta_min;eta_max;m;n_s;n_epochs;seed
0.5093;0.6021;0.5156;0.5124;0.0045;100;1e-05;0.1;50;900;36;12345
0.5179;0.5896;0.5174;0.5213;0.0075;100;1e-05;0.1;50;900;36;12345
