top_5_vacc;tracc;vacc;teacc;lambda;n_batch;eta_min;eta_max;m;n_s;n_epochs;seed
0.5037;0.6266;0.5066;0.4988;0.0;100;1e-05;0.1;50;900;36;12345
0.5194;0.6077;0.5214;0.5171;0.0041;100;1e-05;0.1;50;900;36;12345
0.52;0.5856;0.5258;0.5126;0.0082;100;1e-05;0.1;50;900;36;12345
0.5163;0.5683;0.5184;0.5161;0.0123;100;1e-05;0.1;50;900;36;12345
0.5114;0.5542;0.516;0.5068;0.0163;100;1e-05;0.1;50;900;36;12345
0.5077;0.5408;0.5096;0.5068;0.0204;100;1e-05;0.1;50;900;36;12345
0.5036;0.5304;0.5034;0.5011;0.0245;100;1e-05;0.1;50;900;36;12345
0.4934;0.52;0.495;0.4962;0.0286;100;1e-05;0.1;50;900;36;12345
