top_5_vacc,tracc,vacc,teacc,lambda,alpha,eta_min,eta_max,n_epochs,batch_size,n_s,N,layers,seed
0.5172,0.6216,0.5176,0.5112,0.0,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4999,0.5649,0.5156,0.5129,0.0143,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4778,0.5346,0.5062,0.5056,0.0286,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4649,0.5222,0.4962,0.4937,0.0429,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4591,0.5124,0.4842,0.4906,0.0571,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4474,0.5027,0.479,0.4864,0.0714,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4428,0.4919,0.475,0.4747,0.0857,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
0.4312,0.4898,0.4638,0.4759,0.1,0.9,1e-05,0.1,20,100,2250.0,45000,3,12345
